#    seconds     rel_res
    0.277525     17284.1
    0.510546     274.564
    0.741782     81.3962
    0.982604     56.9633
     1.21606     43.9505
     1.44999     38.8569
     1.68506     33.1936
     1.91681     27.9488
      2.1517     25.9388
     2.38737      24.869
     2.62014     22.2208
     2.85759     20.9937
     3.09695     19.3159
     3.33406     17.8713
      3.5715     17.0368
     3.80754     14.8789
     4.04394      13.889
     4.28071     14.0552
     4.51669     12.0942
     4.75718     11.2715
     4.99239     10.8802
     5.23395      9.4529
     5.47064     9.42364
     5.70705     8.66936
     5.94128     8.07741
     6.18586     7.70039
     6.42721     7.54349
     6.66517     6.69559
     6.90436     6.53911
     7.14433     6.07335
     7.38169     5.94086
     7.62171     6.18048
     7.86152     5.50703
     8.09973     5.08607
     8.33991     5.02535
     8.57793     4.82894
     8.81798     4.73015
     9.05465      4.5534
     9.29252     4.18377
     9.53097     4.22807
     9.76839     3.80839
     10.0066     3.90107
     10.2446     3.55625
      10.485     3.51835
     10.7244      3.5069
     10.9618     3.34976
     11.1963     3.05856
     11.4314     3.14854
     11.6667     2.93078
     11.9039     2.95822
