#    seconds     rel_res
    0.265285     17284.1
    0.490517     271.544
    0.713567     60.4421
    0.939218     37.0632
     1.16518     26.8304
     1.39034     21.0359
     1.61385      17.506
     1.83987     15.1667
     2.06443     13.3631
     2.29068     11.9449
     2.51574     10.8963
     2.74005     10.0391
     2.96603     9.46642
     3.19163     8.77227
     3.41523     8.30226
     3.64071     7.82619
     3.86792     7.48303
     4.09376     7.12408
     4.31925     6.81813
     4.54404     6.55344
     4.77504     6.31442
     4.99938     6.07874
     5.22452     5.88449
     5.45046     5.73413
     5.67894     5.51737
     5.90336     5.36402
     6.13025     5.25329
     6.35703     5.06778
     6.58128     4.94802
     6.81273     4.83798
     7.04215     4.73489
     7.26688     4.60629
     7.49186     4.52073
     7.71908     4.42462
     7.94481     4.33674
      8.1719     4.24276
     8.39922     4.17238
     8.62815     4.11358
     8.85551      4.0167
     9.08287     3.94264
     9.30878     3.87368
     9.53426     3.81628
     9.76144     3.75218
     9.98703     3.70685
      10.213       3.643
     10.4395     3.58213
     10.6667     3.54474
     10.8939     3.52473
     11.1199     3.44113
     11.3449     3.38682
