#    seconds     rel_res
     0.13373     17284.1
    0.227974     3775.66
    0.323139     2232.77
    0.419986     1503.85
    0.514238     1150.06
     0.60927     941.961
     0.70431      784.91
    0.799132     666.999
    0.894188     594.011
    0.987933     531.754
     1.08269     478.713
     1.17658     433.373
     1.27157      397.63
     1.36692     369.671
     1.46143      344.45
     1.55567     321.698
     1.64972     301.152
     1.74416     282.562
     1.83819     267.499
     1.93286     254.397
     2.02793     242.203
     2.12229     230.854
     2.21765     220.287
     2.31171     210.441
     2.40543     201.257
     2.49952     193.583
       2.594     186.596
     2.68821     179.969
      2.7829     173.684
     2.87752     167.721
     2.97267     162.062
     3.06751      156.69
     3.16261     151.588
     3.25757     147.164
     3.35194     143.087
     3.44561     139.171
     3.54148     135.411
     3.63553       131.8
     3.73086     128.332
     3.82563         125
     3.91905     121.798
     4.01286     118.722
      4.1081     115.943
     4.20263     113.399
     4.29705     110.935
     4.39146     108.548
     4.48656     106.237
     4.58054     103.999
     4.67501      101.83
     4.76934     99.7299
