#    seconds     rel_res
    0.259166     17284.1
     0.47714     308.683
       0.696     95.4525
    0.914535     63.5005
     1.13366     47.7172
      1.3518     38.2884
     1.56997      31.952
     1.78738      27.433
     2.00444      24.102
     2.22182     21.4631
     2.43939     19.3759
     2.65802     17.6664
     2.87673      16.234
     3.09429     15.0311
     3.31277     13.9938
     3.53188     13.0978
      3.7506      12.315
     3.97064     11.6196
      4.1886     11.0086
     4.40759     10.4536
     4.62745      9.9621
     4.84859     9.51205
      5.0702     9.10464
     5.28936     8.73423
     5.50944     8.39194
     5.72732     8.07854
     5.94572     7.79008
     6.16448     7.52045
      6.3828     7.27281
      6.6033     7.04105
     6.82561     6.82407
     7.04602     6.62277
     7.26506     6.43506
     7.48342     6.26436
     7.70269     6.10104
      7.9208      5.9489
     8.14415     5.80462
     8.36455     5.66819
      8.5835     5.53885
      8.8036     5.41576
      9.0238     5.29883
     9.24367      5.1889
     9.46443     5.08133
     9.68391     4.98052
     9.90296     4.88502
     10.1221     4.79086
     10.3484      4.7031
     10.5712     4.62075
     10.7908     4.53711
     11.0083     4.45956
