#    seconds     rel_res
    0.282417     17284.1
    0.524831     291.699
    0.768432     128.773
     1.00736     108.123
     1.24745     76.7881
     1.49049     56.6372
      1.7304     42.5371
     1.97204     33.8487
     2.21263     25.1108
     2.45318     20.7554
      2.6966     17.2026
     2.93499     15.4275
     3.17224     12.6713
     3.40902     10.8676
     3.64674     9.89688
     3.88535       8.748
     4.12237     7.70903
     4.36279     7.14032
     4.60086     6.63003
     4.84217     6.24987
     5.08258     5.48085
     5.32708     4.98499
     5.57017     4.83715
     5.81011     4.59537
     6.04957     3.69028
     6.28748     3.43988
     6.52607     3.29866
     6.76426     3.16001
     7.00259     3.05115
     7.24109     2.65417
     7.47868     2.64961
     7.72477     2.28994
     7.96414     2.19932
     8.20422     2.13242
     8.44419     1.93781
     8.68473     1.96526
     8.92273     1.78272
      9.1621     1.62975
     9.40087     1.67262
     9.64287     1.49039
     9.88359     1.43403
     10.1257     1.31668
      10.369     1.20952
     10.6106     1.24538
     10.8482     1.11609
     11.0899     1.08705
     11.3278     1.05336
     11.5673    0.975771
     11.8055    0.892006
     12.0439    0.829348
