#    seconds     rel_res
    0.293011     17284.1
    0.543342     496.291
    0.787911     284.823
     1.03271     115.069
      1.2769     56.3858
     1.52173     37.1361
     1.76821     20.5898
     2.01489     10.1411
     2.26225     4.29327
     2.51253     1.75059
     2.76139     0.71086
      3.0071    0.283048
     3.25642    0.115861
     3.50779   0.0534759
     3.75812   0.0207154
     4.00735  0.00820646
      4.2579  0.00313842
      4.5057  0.00115032
     4.75931 0.000426327
      5.0109 0.000189693
     5.26087 0.000137725
     5.51332 0.000137724
     5.76451 0.000137724
     6.01715 0.000137724
     6.26239 0.000137724
     6.50803 0.000137724
     6.76046 0.000137724
     7.00663 0.000137724
     7.25751 0.000137724
     7.50274 0.000137724
     7.75121 0.000137724
     8.00105 0.000137724
     8.25095 0.000137724
      8.4955 0.000137724
     8.74538 0.000137724
