#    seconds     rel_res
     0.27649     17284.1
    0.508818     267.564
    0.740358      60.673
    0.969655     38.6088
     1.20205      28.869
     1.43398     24.0896
     1.66399     20.2964
     1.89461     17.9577
     2.12607      16.784
     2.35671     14.9479
     2.59018     13.7864
     2.82121      12.932
     3.05546     12.3552
     3.28646     11.4932
     3.51664     10.8715
      3.7468     10.6457
     3.97922     10.6436
     4.20996     9.48126
     4.44132     9.14676
     4.67162      8.8875
     4.90251     8.50544
     5.13212     8.16986
     5.36248     7.91093
     5.59243     8.10955
     5.82834         7.9
     6.06436     7.49524
     6.29817     7.54414
     6.53161     7.49598
      6.7613     6.93872
     6.99092     6.80825
     7.22201     6.55833
     7.45315     6.65248
      7.6865     6.35525
     7.92092     6.34911
     8.15482     6.27251
     8.38852     5.84186
      8.6212     5.68425
      8.8546     5.70485
     9.08827     5.52474
     9.31969     5.60118
     9.55059     5.89836
     9.78205     5.52718
     10.0148     5.21009
     10.2463     5.28272
     10.4761     5.06773
     10.7065     5.16223
     10.9366     4.79427
     11.1701     4.81779
     11.4015     4.86689
     11.6327     4.49927
