#    seconds     rel_res
    0.299089     17284.1
    0.542528     373.397
    0.786554     210.104
     1.03436     128.409
     1.27745     68.4239
     1.51975     32.2457
      1.7626      18.449
      2.0051     10.3382
     2.24765     6.78968
     2.49484      4.7227
     2.73895     3.50636
     2.98453      2.8198
     3.23562     2.30588
     3.48307     1.73647
     3.72662     1.42801
     3.97113     1.12978
     4.21363    0.975675
     4.45571    0.762215
     4.71271    0.592615
     4.95887    0.509593
     5.20434    0.401256
     5.45283    0.343529
     5.70392    0.241365
     5.95188    0.204862
     6.19985    0.166196
     6.44454    0.133619
     6.68876    0.106672
     6.93556   0.0882864
     7.18574   0.0746287
     7.43359   0.0612142
     7.68041   0.0465472
     7.92731    0.038233
     8.17132   0.0298916
     8.41514   0.0254669
      8.6592   0.0211766
     8.90403   0.0169685
     9.14919   0.0127684
     9.39478   0.0110237
     9.63993  0.00858506
     9.88345  0.00681105
     10.1265   0.0057649
     10.3731  0.00457841
     10.6196  0.00393027
     10.8665  0.00294613
     11.1135  0.00243304
     11.3618  0.00200943
     11.6098  0.00160924
     11.8582    0.001282
     12.1078 0.000966508
     12.3524 0.000827697
